cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSdeG-PSOE;PP;PODEMOS-EU-;Cs;BNG;VOX;"EN MAREA";PACMA;"RECORTES CE";CxG;PCOE;PCTG;EB;VOU;PUM+J;"C 21"
15;"A Coruña";5;Arteixo;1;10;A;618;467;10;7;154;76;93;65;27;25;2;5;1;0;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;10;B;568;419;6;8;135;57;93;60;28;20;6;4;1;0;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;11;A;545;364;2;6;103;47;78;64;24;22;3;10;1;0;0;4;0;0;0;0
15;"A Coruña";1;Abegondo;1;2;B;337;230;5;6;69;65;31;25;15;11;1;2;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;6;U;842;643;9;7;188;108;128;81;65;37;8;6;4;2;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;12;B;815;617;8;6;166;110;116;100;43;43;13;8;1;3;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;7;A;911;622;11;11;213;122;98;67;37;46;2;9;2;0;4;0;0;0;0;0
15;"A Coruña";5;Arteixo;2;2;A;627;455;4;9;147;102;69;60;26;27;7;2;1;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;2;A;784;513;11;9;174;110;97;38;18;36;3;9;2;1;5;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;1;A;368;272;3;8;74;89;31;29;15;14;5;4;0;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;1;B;911;646;5;10;224;155;98;62;40;20;14;11;0;2;4;1;0;0;0;0
15;"A Coruña";9;Betanzos;1;5;B;677;495;7;9;147;137;72;70;15;26;6;3;0;1;2;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;6;A;774;592;6;11;165;140;84;93;41;40;3;6;1;0;1;1;0;0;0;0
15;"A Coruña";9;Betanzos;1;6;B;701;555;10;10;149;142;86;68;43;34;3;4;1;3;2;0;0;0;0;0
15;"A Coruña";10;Boimorto;1;1;A;557;314;0;4;91;134;22;14;34;12;1;1;0;0;1;0;0;0;0;0
15;"A Coruña";10;Boimorto;2;1;A;475;348;8;4;89;130;13;30;52;17;4;0;0;0;1;0;0;0;0;0
15;"A Coruña";11;Boiro;1;2;A;783;584;3;12;165;133;114;72;45;26;5;5;0;2;2;0;0;0;0;0
15;"A Coruña";11;Boiro;1;2;B;614;453;6;14;105;106;83;69;25;31;7;5;0;0;2;0;0;0;0;0
15;"A Coruña";11;Boiro;1;2;C;666;486;2;5;133;112;88;53;42;30;8;9;0;1;3;0;0;0;0;0
15;"A Coruña";11;Boiro;1;3;B;814;618;5;11;151;129;114;101;50;45;5;4;1;1;1;0;0;0;0;0
15;"A Coruña";11;Boiro;1;8;A;534;373;4;5;84;93;52;68;28;26;3;9;0;0;0;1;0;0;0;0
15;"A Coruña";11;Boiro;2;1;U;768;539;4;8;171;182;48;57;47;16;3;1;1;1;0;0;0;0;0;0
15;"A Coruña";11;Boiro;3;1;B;504;347;3;10;59;133;50;40;24;14;1;10;0;0;3;0;0;0;0;0
15;"A Coruña";11;Boiro;3;3;U;714;505;2;12;128;151;84;57;32;21;8;4;1;0;2;3;0;0;0;0
15;"A Coruña";12;Boqueixón;1;2;A;385;277;4;5;80;137;18;9;1;18;2;1;0;1;1;0;0;0;0;0
15;"A Coruña";13;Brión;1;1;B;754;535;8;10;126;125;90;67;51;27;17;10;0;2;1;1;0;0;0;0
15;"A Coruña";2;Ames;1;3;B;286;206;0;1;61;56;15;33;16;15;5;1;0;1;2;0;0;0;0;0
15;"A Coruña";2;Ames;3;4;B;920;709;6;8;212;180;86;98;43;45;13;10;1;2;0;5;0;0;0;0
15;"A Coruña";4;Ares;1;3;C;469;337;2;2;126;64;49;26;42;17;2;4;1;1;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;3;1;A;688;474;3;6;153;133;64;47;33;23;2;6;0;1;3;0;0;0;0;0
